experiment,fold,feature,importance
E4_LOOCV,32,limited_receive_schedule_flag,0.0
E4_LOOCV,32,cutoff_value_feature,0.03282428804209939
E4_LOOCV,32,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,32,next_receive_day_gap_feature,0.0
E4_LOOCV,32,receive_weekday_code,0.0
E4_LOOCV,32,receive_week_of_month,0.0
E4_LOOCV,32,receive_day_of_month,0.0
E4_LOOCV,33,cutoff_rule,0.0
E4_LOOCV,33,receive_day_code,0.0
E4_LOOCV,33,receive_schedule,0.5685689904524986
E4_LOOCV,33,receive_date_schedule_status,0.0
E4_LOOCV,33,receive_month_end_flag,0.0
E4_LOOCV,33,limited_receive_schedule_flag,0.0
E4_LOOCV,33,cutoff_value_feature,0.0
E4_LOOCV,33,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,33,next_receive_day_gap_feature,0.0
E4_LOOCV,33,receive_weekday_code,0.0
E4_LOOCV,33,receive_week_of_month,0.0
E4_LOOCV,33,receive_day_of_month,0.032824288042099393
E4_LOOCV,34,cutoff_rule,0.0
E4_LOOCV,34,receive_day_code,0.0
E4_LOOCV,34,receive_schedule,0.0
E4_LOOCV,34,receive_date_schedule_status,0.0
E4_LOOCV,34,receive_month_end_flag,0.0
E4_LOOCV,34,limited_receive_schedule_flag,0.5685689904524985
E4_LOOCV,34,cutoff_value_feature,0.032824288042099393
E4_LOOCV,34,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,34,next_receive_day_gap_feature,0.0
E4_LOOCV,34,receive_weekday_code,0.0
E4_LOOCV,34,receive_week_of_month,0.0
E4_LOOCV,34,receive_day_of_month,0.0
E4_LOOCV,35,cutoff_rule,0.0
E4_LOOCV,35,receive_day_code,0.0
E4_LOOCV,35,receive_schedule,0.5685689904524986
E4_LOOCV,35,receive_date_schedule_status,0.0
E4_LOOCV,35,receive_month_end_flag,0.0
E4_LOOCV,35,limited_receive_schedule_flag,0.0
E4_LOOCV,35,cutoff_value_feature,0.0
E4_LOOCV,35,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,35,next_receive_day_gap_feature,0.0
E4_LOOCV,35,receive_weekday_code,0.0
E4_LOOCV,35,receive_week_of_month,0.0
E4_LOOCV,35,receive_day_of_month,0.032824288042099393
E4_LOOCV,36,cutoff_rule,0.0
E4_LOOCV,36,receive_day_code,0.5685689904524986
E4_LOOCV,36,receive_schedule,0.0
E4_LOOCV,36,receive_date_schedule_status,0.0
E4_LOOCV,36,receive_month_end_flag,0.0
E4_LOOCV,36,limited_receive_schedule_flag,0.0
E4_LOOCV,36,cutoff_value_feature,0.03282428804209939
E4_LOOCV,36,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,36,next_receive_day_gap_feature,0.0
E4_LOOCV,36,receive_weekday_code,0.0
E4_LOOCV,36,receive_week_of_month,0.0
E4_LOOCV,36,receive_day_of_month,0.0
E4_LOOCV,37,cutoff_rule,0.0
E4_LOOCV,37,receive_day_code,0.0
E4_LOOCV,37,receive_schedule,0.0
E4_LOOCV,37,receive_date_schedule_status,0.0
E4_LOOCV,37,receive_month_end_flag,0.0
E4_LOOCV,37,limited_receive_schedule_flag,0.5612591307470656
E4_LOOCV,37,cutoff_value_feature,0.03254774922425865
E4_LOOCV,37,days_to_cutoff_feature,0.4061931200286757
E4_LOOCV,37,next_receive_day_gap_feature,0.0
E4_LOOCV,37,receive_weekday_code,0.0
E4_LOOCV,37,receive_week_of_month,0.0
E4_LOOCV,37,receive_day_of_month,0.0
E4_LOOCV,38,cutoff_rule,0.0
E4_LOOCV,38,receive_day_code,0.0
