invoice_no,customer_name_masking,receive_date,sent_date,Driver,cutoff_type,cutoff_rule,cutoff_value,receive_day_code,receive_schedule,days_to_cutoff,expert_label,expert_reason,_source_excel_row,admin_ground_truth,receive_weekday_code,receive_weekday_name,receive_day_of_month,receive_week_of_month,receive_month_end_flag,limited_receive_schedule_flag,next_receive_day_gap_decision_time,receive_date_schedule_status,cutoff_date_decision_time,cutoff_derivation_note,days_to_cutoff_source,days_to_cutoff_decision_time,cutoff_value_feature,days_to_cutoff_feature,next_receive_day_gap_feature,observation_id
S202605-0591,CUST084,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,57,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0591
S202605-0723,CUST498,2026-05-21,2026-05-22,SAPX,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,6,NORMAL,LONG_TIME_TO_CUTOFF,58,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,6,6.0,0.0,6.0,0.0,S202605-0723
S202605-0609,CUST018,2026-05-21,2026-05-22,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,5,NORMAL,LONG_TIME_TO_CUTOFF,59,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-28,MONTHLY_DATE; cutoff date selected from receive_date month or next month,5,5.0,28.0,5.0,0.0,S202605-0609
S202605-0757,CUST381,2026-05-21,2026-05-21,AMIT,"Every 11th ,12th, 21th,22th,28th,29th in every month",MONTHLY_DATE,,MISSING,Based on Schedule Payment,0,HIGH,CUTOFF_TODAY,60,Urgent,4,Thursday,21,3,No,Yes,,UNKNOWN_RECEIVE_DAY,2026-05-21,MONTHLY_DATE; parsed next listed date from cutoff_type,0,0.0,-1.0,0.0,-1.0,S202605-0757
93101903,CUST058,2026-05-21,2026-05-21,ARI,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,61,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,93101903
S202605-0634,CUST307,2026-05-22,2026-05-22,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,62,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0634
S202605-0769,CUST179,2026-05-22,2026-05-22,ARI,Max on 28th in every month,MONTHLY_DATE,28.0,"1,2,3,4,5",Everyday,4,NORMAL,LONG_TIME_TO_CUTOFF,63,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,2026-05-28,MONTHLY_DATE; cutoff date selected from receive_date month or next month,4,4.0,28.0,4.0,0.0,S202605-0769
S202605-0635,CUST382,2026-05-22,2026-05-22,ARI,Max on 25th in every month,MONTHLY_DATE,25.0,"1,2,3,4,5",Everyday,1,HIGH,CUTOFF_NEAR,65,Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,2026-05-25,MONTHLY_DATE; cutoff date selected from receive_date month or next month,1,1.0,25.0,1.0,0.0,S202605-0635
S202605-0722,CUST367,2026-05-22,2026-05-22,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,66,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0722
S202605-0715,CUST196,2026-05-22,2026-05-26,ROHMAN,4 working days in next month,MONTHLY_DATE,4.0,"2,4","Tuesday, Thursday",9,HIGH,LIMITED_RECEIVE_DAY,67,Urgent,5,Friday,22,4,No,Yes,4.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,2026-06-04,MONTHLY_DATE; cutoff date selected from receive_date month or next month,9,9.0,4.0,9.0,4.0,S202605-0715
S202605-0633,CUST281,2026-05-22,2026-05-22,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,68,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0633
S202605-0720,CUST291,2026-05-22,2026-05-22,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,69,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0720
S202605-0712,CUST079,2026-05-22,2026-05-22,ROHMAN,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,5,NORMAL,LONG_TIME_TO_CUTOFF,70,Not Urgent,5,Friday,22,4,No,No,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,5,5.0,0.0,5.0,0.0,S202605-0712
